plate_number,owner_name,cnic,phone,car_make,car_model,car_year,car_color,registration_city,registration_date,tax_status,violations,insurance_status
LZP 3865,Owner 0,32620-2322873-9,0347-1487465,Hyundai,Elantra,2020,Black,Faisalabad,2018-05-19,Unpaid,2,Active
ICT 1664,Owner 1,37046-6455617-7,0334-5685900,Hyundai,Elantra,2023,White,Islamabad,2022-12-24,Unpaid,4,Expired
LEA 5740,Owner 2,30827-4067202-6,0315-5994756,Nissan,Sedan,2018,Red,Lahore,2015-12-08,Paid,5,Expired
ICT 7977,Owner 3,34606-7768024-9,0334-6708349,Nissan,Sedan,2018,White,Rawalpindi,2019-12-18,Unpaid,0,Expired
LEA 6830,Owner 4,34675-4260973-9,0313-5051885,Suzuki,Alto,2018,White,Karachi,2021-05-13,Paid,1,Active
KHI 4297,Owner 5,30981-3425786-7,0340-4405026,Honda,Civic,2024,Black,Islamabad,2020-06-13,Paid,5,Expired
KHI 4054,Owner 6,36218-5060884-8,0317-1284119,Kia,Picanto,2021,Red,Lahore,2021-04-29,Paid,5,Expired
LEA 7727,Owner 7,37799-4876771-1,0312-9971557,Honda,Civic,2020,Black,Islamabad,2016-04-22,Paid,0,Active
KHI 4551,Owner 8,35312-3136249-5,0305-4489593,Kia,Picanto,2019,White,Lahore,2017-06-10,Paid,0,Active
ICT 4115,Owner 9,31652-2490304-2,0347-1650035,Suzuki,Swift,2015,White,Islamabad,2016-10-08,Unpaid,3,Expired
LEA 2050,Owner 10,32905-2203411-9,0321-4283046,Suzuki,Cultus,2021,Silver,Karachi,2016-11-08,Paid,0,Active
LZP 1197,Owner 11,33707-4918172-6,0337-8886387,Nissan,Sedan,2018,Silver,Karachi,2016-08-26,Paid,5,Active
ICT 2317,Owner 12,35260-6878927-8,0333-8599120,Honda,Civic,2024,Grey,Lahore,2019-02-23,Unpaid,0,Expired
KHI 5672,Owner 13,34509-4429429-2,0328-5601770,Suzuki,Swift,2017,Grey,Rawalpindi,2016-11-14,Paid,1,Active
LZP 4466,Owner 14,34213-2867675-1,0312-5164717,Kia,Picanto,2020,Grey,Faisalabad,2016-06-30,Unpaid,5,Expired
LZP 2375,Owner 15,33904-9733566-7,0304-4823891,Toyota,Yaris,2015,White,Rawalpindi,2018-11-15,Paid,3,Expired
ICT 3525,Owner 16,30419-4157442-8,0309-8719208,Honda,Civic,2021,White,Rawalpindi,2017-10-25,Paid,1,Active
KHI 7019,Owner 17,38213-1233113-8,0324-3212791,Suzuki,Alto,2016,White,Lahore,2016-11-08,Unpaid,3,Expired
LZP 4053,Owner 18,34251-9049673-3,0334-6445133,Honda,Civic,2024,Black,Islamabad,2021-03-15,Paid,5,Expired
LZP 5181,Owner 19,38535-6700885-7,0330-2372723,Toyota,Yaris,2020,White,Islamabad,2017-11-28,Paid,0,Active
LEA 6032,Owner 20,31237-3635323-4,0325-5869271,Hyundai,Tucson,2016,Grey,Karachi,2021-05-05,Paid,2,Expired
LZP 9643,Owner 21,34476-4135309-1,0332-8282790,Nissan,Sedan,2021,Silver,Karachi,2018-03-24,Unpaid,2,Active
KHI 1131,Owner 22,34720-9448351-3,0332-4660730,Honda,Civic,2022,Black,Rawalpindi,2016-10-04,Paid,5,Expired
LEA 5297,Owner 23,30071-5210558-3,0342-4610066,Honda,City,2022,Black,Karachi,2019-09-23,Unpaid,5,Expired
LEA 7758,Owner 24,34217-6845832-7,0307-8183314,Honda,City,2017,Black,Faisalabad,2022-12-19,Paid,3,Active
LZP 4605,Owner 25,39049-8421318-7,0320-3995239,Toyota,Yaris,2021,Black,Rawalpindi,2018-01-21,Paid,2,Active
KHI 4945,Owner 26,32669-3410982-1,0321-3555250,Toyota,Fortuner,2018,Red,Islamabad,2020-04-28,Paid,3,Expired
ICT 9281,Owner 27,34405-1772433-4,0336-6128814,Suzuki,Swift,2018,Black,Karachi,2015-07-27,Unpaid,0,Expired
KHI 9778,Owner 28,30379-7977073-3,0332-4332111,Suzuki,Cultus,2017,Black,Rawalpindi,2015-04-15,Paid,4,Active
LZP 1096,Owner 29,32154-6250113-9,0331-2443402,Hyundai,Elantra,2020,Grey,Islamabad,2017-02-13,Unpaid,5,Expired
KHI 2989,Owner 30,36396-6791195-2,0337-5984328,Hyundai,Tucson,2015,Red,Lahore,2020-03-03,Unpaid,3,Expired
LZP 5725,Owner 31,31953-2799180-9,0328-3260113,Nissan,Sedan,2016,Grey,Lahore,2022-03-07,Unpaid,2,Active
ICT 8460,Owner 32,36493-7717682-4,0321-7661004,Hyundai,Elantra,2016,Black,Lahore,2016-08-07,Paid,3,Expired
LEA 4610,Owner 33,38422-8177254-3,0339-4279873,Kia,Picanto,2016,White,Rawalpindi,2021-06-04,Unpaid,2,Expired
LEA 3693,Owner 34,38888-9965025-6,0334-4060047,Toyota,Yaris,2024,White,Rawalpindi,2015-12-30,Paid,2,Active
LZP 7017,Owner 35,39722-5856073-3,0331-9220113,Honda,Civic,2020,Red,Karachi,2015-12-26,Unpaid,5,Active
LEA 9233,Owner 36,38519-6131083-5,0333-1934898,Toyota,Fortuner,2020,Silver,Lahore,2021-10-05,Paid,5,Expired
LEA 1839,Owner 37,34093-7819795-1,0349-6743306,Hyundai,Tucson,2015,Black,Islamabad,2023-01-13,Unpaid,2,Active
ICT 5253,Owner 38,36293-6612141-4,0320-7567435,Kia,Picanto,2023,Red,Karachi,2018-06-20,Unpaid,2,Active
LEA 9521,Owner 39,31184-3259000-3,0318-2012591,Toyota,Corolla,2018,Red,Lahore,2021-04-09,Paid,2,Expired
LZP 7055,Owner 40,33436-5110055-3,0319-1934398,Hyundai,Elantra,2018,White,Lahore,2016-08-05,Unpaid,2,Active
KHI 2043,Owner 41,31534-7583763-1,0309-1538037,Kia,Sportage,2024,Silver,Faisalabad,2023-03-13,Paid,5,Active
ICT 4666,Owner 42,30625-7853002-2,0322-5974830,Toyota,Corolla,2020,Silver,Islamabad,2016-07-20,Paid,5,Active
LEA 7449,Owner 43,34876-5493594-2,0319-7530873,Nissan,Sedan,2020,Black,Islamabad,2020-04-06,Unpaid,5,Expired
LEA 6153,Owner 44,31941-1218517-1,0347-6527955,Honda,Civic,2024,Grey,Faisalabad,2022-08-12,Unpaid,0,Expired
LZP 4719,Owner 45,30888-9241885-6,0331-4917008,Nissan,Sedan,2024,Silver,Lahore,2015-02-06,Paid,2,Active
LEA 7402,Owner 46,30061-5971046-2,0310-2246543,Nissan,Sedan,2021,Grey,Rawalpindi,2015-10-09,Paid,5,Active
LZP 7931,Owner 47,39402-6895211-5,0329-7606951,Hyundai,Elantra,2015,Red,Faisalabad,2015-08-27,Unpaid,2,Active
ICT 1424,Owner 48,36292-8021700-1,0348-3412307,Honda,City,2019,Red,Lahore,2017-10-26,Unpaid,5,Active
KHI 4528,Owner 49,30144-9641716-2,0313-9633983,Hyundai,Elantra,2021,Black,Karachi,2018-07-31,Unpaid,3,Active
ICT 6884,Owner 50,36075-5921114-1,0320-6902032,Suzuki,Cultus,2018,Silver,Karachi,2019-10-30,Paid,5,Expired
LZP 8300,Owner 51,33023-6079759-4,0344-4063823,Kia,Picanto,2022,Red,Faisalabad,2019-12-06,Paid,1,Active
LEA 7743,Owner 52,34776-2715033-2,0318-1196765,Kia,Sportage,2016,White,Faisalabad,2017-05-09,Unpaid,2,Expired
LEA 1154,Owner 53,35740-4787570-2,0305-9035270,Honda,City,2018,Silver,Karachi,2019-07-13,Paid,3,Active
LEA 8155,Owner 54,30847-4819692-7,0301-5062861,Kia,Picanto,2022,Red,Islamabad,2020-06-04,Paid,1,Expired
LZP 2978,Owner 55,36928-3274776-2,0317-7146634,Nissan,Sedan,2015,Silver,Rawalpindi,2018-05-06,Unpaid,0,Active
KHI 5323,Owner 56,31901-6657719-2,0325-2734437,Toyota,Yaris,2022,Silver,Islamabad,2018-08-27,Unpaid,0,Expired
KHI 9904,Owner 57,36462-8391497-6,0318-2959736,Kia,Picanto,2019,White,Islamabad,2015-10-25,Paid,3,Expired
ICT 2240,Owner 58,39384-5930191-2,0346-4914128,Toyota,Corolla,2024,Red,Rawalpindi,2019-06-06,Paid,2,Expired
KHI 5138,Owner 59,33851-8872665-9,0308-4748573,Suzuki,Alto,2021,Silver,Rawalpindi,2019-06-22,Unpaid,3,Expired
LEA 1516,Owner 60,35841-8723648-9,0305-9053192,Suzuki,Alto,2020,White,Islamabad,2021-05-24,Paid,1,Active
KHI 4270,Owner 61,31487-2572124-6,0310-3799161,Kia,Picanto,2015,Silver,Lahore,2020-02-28,Unpaid,2,Expired
ICT 6682,Owner 62,31621-8498105-8,0303-9702902,Suzuki,Alto,2017,White,Islamabad,2016-09-15,Paid,0,Expired
LZP 1150,Owner 63,37648-5626794-5,0341-2581505,Hyundai,Elantra,2020,Grey,Islamabad,2016-09-29,Paid,2,Active
KHI 7808,Owner 64,31726-2988940-6,0317-3629143,Nissan,Sedan,2022,Grey,Islamabad,2022-06-12,Unpaid,5,Expired
ICT 2782,Owner 65,37140-1783115-2,0338-7084083,Hyundai,Tucson,2015,White,Karachi,2020-03-04,Unpaid,4,Active
LEA 4411,Owner 66,35210-6973515-5,0346-6702119,Hyundai,Elantra,2021,Silver,Lahore,2020-04-28,Paid,3,Active
KHI 7203,Owner 67,39596-4843666-1,0339-7382532,Toyota,Yaris,2023,White,Lahore,2020-06-18,Paid,0,Expired
LEA 1381,Owner 68,38351-1818854-8,0348-3981075,Kia,Picanto,2022,Red,Karachi,2016-07-26,Unpaid,0,Expired
KHI 4587,Owner 69,37594-2893060-6,0335-7213713,Suzuki,Swift,2020,Silver,Faisalabad,2015-10-28,Unpaid,2,Active
LEA 9615,Owner 70,39520-3156338-6,0333-8218667,Toyota,Corolla,2023,White,Faisalabad,2019-02-26,Paid,0,Active
LZP 5903,Owner 71,31041-4701533-7,0319-1321495,Kia,Picanto,2015,White,Islamabad,2020-04-03,Paid,5,Active
